joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Saba Goglichidze,GEO,DF,Empoli,20.0,2004,26.0,23.0,2010.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.1,0.3,8.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
Edoardo Goldaniga,ITA,DF,Como,31.0,1993,25.0,21.0,1902.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.8,1.8,0.1,2.0,16.0,55.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09
Pierluigi Gollini,ITA,GB,Genoa,30.0,1995,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás González,ARG,AT,Juventus,26.0,1998,18.0,15.0,1158.0,12.9,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.6,2.6,0.7,3.3,22.0,34.0,83.0,0.08,0.16,0.23,0.08,0.23,0.2,0.05,0.25,0.2,0.25
Robin Gosens,GER,DF,Fiorentina,30.0,1994,26.0,23.0,2061.0,22.9,4.0,4.0,8.0,4.0,0.0,0.0,5.0,0.0,1.5,1.5,1.9,3.4,26.0,84.0,65.0,0.17,0.17,0.35,0.17,0.35,0.07,0.08,0.15,0.07,0.15
Lucas Gourna-Douath,FRA,MT,Roma,21.0,2003,2.0,2.0,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,2.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
Alberto Grassi,ITA,MT,Empoli,30.0,1995,21.0,20.0,1607.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.7,0.7,0.8,1.6,13.0,50.0,12.0,0.06,0.0,0.06,0.06,0.06,0.04,0.05,0.09,0.04,0.09
Mattéo Guendouzi,FRA,MT,Lazio,25.0,1999,29.0,29.0,2550.0,28.3,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,2.9,3.9,74.0,245.0,45.0,0.04,0.11,0.14,0.04,0.14,0.04,0.1,0.14,0.04,0.14
Frederic Guilbert,FRA,DF,Lecce,30.0,1994,25.0,25.0,1997.0,22.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.2,0.2,1.7,1.9,42.0,71.0,38.0,0.0,0.05,0.05,0.0,0.05,0.01,0.08,0.09,0.01,0.09
Albert Guðmundsson,ISL,"MT,AT",Fiorentina,27.0,1997,18.0,12.0,920.0,10.2,6.0,0.0,6.0,4.0,2.0,2.0,2.0,0.0,3.7,2.2,0.9,3.1,23.0,30.0,37.0,0.59,0.0,0.59,0.39,0.39,0.37,0.09,0.46,0.21,0.3
Emmanuel Gyasi,GHA,"DF,AT",Empoli,31.0,1994,30.0,30.0,2618.0,29.1,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,3.6,3.6,0.5,4.1,19.0,40.0,88.0,0.07,0.03,0.1,0.07,0.1,0.12,0.02,0.14,0.12,0.14
Christian Gytkjær,DEN,AT,Venezia,34.0,1990,22.0,2.0,363.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.5,0.8,0.1,0.9,2.0,3.0,23.0,0.5,0.0,0.5,0.25,0.25,0.37,0.04,0.41,0.19,0.22
Nicolas Haas,SUI,MT,Empoli,29.0,1996,10.0,2.0,287.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
