rang,joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
459.0,Oliver Skipp,ENG,MT,Leicester City,24.0,2000,16.0,7.0,779.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.3,14.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04
460.0,William Smallbone,IRL,MT,Southampton,25.0,2000,12.0,6.0,555.0,6.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.0,4.0,22.0,18.0,0.16,0.0,0.16,0.16,0.16,0.06,0.1,0.17,0.06,0.17
461.0,Adam Smith,ENG,DF,Bournemouth,33.0,1991,17.0,12.0,1035.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.1,0.7,7.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
462.0,Emile Smith Rowe,ENG,MT,Fulham,24.0,2000,26.0,22.0,1724.0,19.2,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,4.1,4.1,1.1,5.2,50.0,110.0,104.0,0.26,0.1,0.37,0.26,0.37,0.21,0.06,0.27,0.21,0.27
463.0,Dominic Solanke,ENG,AT,Tottenham,27.0,1997,20.0,20.0,1778.0,19.8,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,9.2,9.2,2.8,12.0,27.0,38.0,75.0,0.35,0.15,0.51,0.35,0.51,0.47,0.14,0.61,0.47,0.61
464.0,Carlos Soler,ESP,"MT,AT",West Ham,28.0,1997,24.0,12.0,1098.0,12.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.1,2.3,12.0,45.0,21.0,0.08,0.08,0.16,0.08,0.16,0.1,0.09,0.19,0.1,0.19
465.0,Ramón Sosa,PAR,"AT,MT",Nott'ham Forest,25.0,1999,14.0,1.0,241.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.4,1.4,10.0,4.0,14.0,0.37,0.0,0.37,0.37,0.37,0.35,0.15,0.51,0.35,0.51
466.0,Tomáš Souček,CZE,MT,West Ham,30.0,1995,27.0,24.0,2083.0,23.1,7.0,1.0,8.0,7.0,0.0,0.0,8.0,0.0,4.9,4.9,1.0,5.9,6.0,65.0,55.0,0.3,0.04,0.35,0.3,0.35,0.21,0.04,0.25,0.21,0.25
467.0,Boubakary Soumaré,FRA,MT,Leicester City,26.0,1999,22.0,18.0,1563.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.2,0.2,0.4,0.6,29.0,77.0,20.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03
468.0,Djed Spence,ENG,DF,Tottenham,24.0,2000,16.0,11.0,1064.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.3,0.3,1.5,1.8,36.0,62.0,48.0,0.08,0.08,0.17,0.08,0.17,0.02,0.13,0.15,0.02,0.15
469.0,Jay Stansfield,ENG,MT,Fulham,22.0,2002,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470.0,Jason Steele,ENG,GB,Brighton,34.0,1990,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471.0,Jack Stephens,ENG,DF,Southampton,31.0,1994,12.0,10.0,804.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.3,0.3,0.1,0.4,11.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
472.0,Raheem Sterling,ENG,"AT,MT",Arsenal,30.0,1994,12.0,4.0,310.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,1.3,18.0,14.0,57.0,0.0,0.29,0.29,0.0,0.29,0.3,0.08,0.38,0.3,0.38
473.0,Ross Stewart,SCO,"AT,MT",Southampton,28.0,1996,4.0,1.0,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
474.0,Jakub Stolarczyk,POL,GB,Leicester City,24.0,2000,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475.0,John Stones,ENG,"DF,MT",Manchester City,30.0,1994,11.0,6.0,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,0.5,10.0,21.0,2.0,0.33,0.0,0.33,0.33,0.33,0.07,0.01,0.08,0.07,0.08
476.0,Jørgen Strand Larsen,NOR,AT,Wolves,25.0,2000,27.0,24.0,2066.0,23.0,9.0,2.0,11.0,9.0,0.0,0.0,3.0,0.0,6.6,6.6,1.7,8.2,11.0,22.0,79.0,0.39,0.09,0.48,0.39,0.48,0.29,0.07,0.36,0.29,0.36
477.0,Yukinari Sugawara,JPN,"DF,MT",Southampton,24.0,2000,26.0,15.0,1439.0,16.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,2.2,2.7,30.0,67.0,72.0,0.06,0.06,0.13,0.06,0.13,0.03,0.14,0.17,0.03,0.17
478.0,Kamaldeen Sulemana,GHA,"AT,MT",Southampton,23.0,2002,17.0,8.0,742.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.4,1.2,34.0,12.0,56.0,0.12,0.0,0.12,0.12,0.12,0.11,0.04,0.15,0.11,0.15
479.0,Crysencio Summerville,NED,"AT,MT",West Ham,23.0,2001,19.0,7.0,786.0,8.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.7,3.3,29.0,18.0,71.0,0.11,0.11,0.23,0.11,0.23,0.19,0.19,0.38,0.19,0.38
480.0,Sammie Szmodics,IRL,"AT,MT",Ipswich Town,29.0,1995,19.0,13.0,979.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.4,3.4,0.2,3.6,16.0,18.0,46.0,0.37,0.0,0.37,0.37,0.37,0.31,0.02,0.33,0.31,0.33
481.0,Dominik Szoboszlai,HUN,MT,Liverpool,24.0,2000,27.0,22.0,1953.0,21.7,5.0,3.0,8.0,5.0,0.0,0.0,6.0,0.0,6.7,6.7,5.0,11.7,61.0,101.0,108.0,0.23,0.14,0.37,0.23,0.37,0.31,0.23,0.54,0.31,0.54
482.0,Matt Targett,ENG,DF,Newcastle Utd,29.0,1995,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483.0,James Tarkowski,ENG,DF,Everton,32.0,1992,29.0,29.0,2601.0,28.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.1,1.1,2.2,3.3,8.0,69.0,3.0,0.03,0.03,0.07,0.03,0.07,0.04,0.08,0.12,0.04,0.12
484.0,Marcus Tavernier,ENG,"AT,MT",Bournemouth,26.0,1999,22.0,16.0,1505.0,16.7,3.0,5.0,8.0,3.0,0.0,0.0,5.0,0.0,5.2,5.2,2.8,8.0,36.0,95.0,101.0,0.18,0.3,0.48,0.18,0.48,0.31,0.17,0.48,0.31,0.48
485.0,Charlie Taylor,ENG,DF,Southampton,31.0,1993,7.0,2.0,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
486.0,Jack Taylor,IRL,MT,Ipswich Town,26.0,1998,23.0,1.0,495.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.5,1.1,9.0,36.0,14.0,0.18,0.0,0.18,0.18,0.18,0.1,0.1,0.2,0.1,0.2
487.0,Mathys Tel,FRA,AT,Tottenham,19.0,2005,4.0,4.0,305.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,6.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.23,0.03,0.26,0.23,0.26
488.0,Kenny Tete,NED,DF,Fulham,29.0,1995,15.0,15.0,1262.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.7,1.8,33.0,42.0,39.0,0.0,0.14,0.14,0.0,0.14,0.07,0.05,0.13,0.07,0.13
489.0,Thiago,BRA,AT,Brentford,23.0,2001,4.0,1.0,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.11,0.07,0.11
490.0,Luke Thomas,ENG,DF,Leicester City,23.0,2001,5.0,4.0,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
491.0,Youri Tielemans,BEL,MT,Aston Villa,27.0,1997,29.0,29.0,2491.0,27.7,2.0,4.0,6.0,2.0,0.0,1.0,4.0,0.0,2.6,1.8,5.7,7.5,30.0,187.0,35.0,0.07,0.14,0.22,0.07,0.22,0.09,0.21,0.3,0.07,0.27
492.0,Kieran Tierney,SCO,"DF,AT",Arsenal,27.0,1997,6.0,0.0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.23,0.54,0.77,0.23,0.77
