joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Leopold Querfeld,AUT,DF,Union Berlin,21.0,2003,20.0,10.0,1117.0,12.4,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.8,0.8,0.6,1.4,0.0,29.0,4.0,0.08,0.0,0.08,0.08,0.08,0.07,0.05,0.12,0.07,0.12
Grant Ranos,ARM,AT,Gladbach,21.0,2003,2.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Raum,GER,DF,RB Leipzig,26.0,1998,19.0,18.0,1513.0,16.8,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,5.7,6.1,30.0,54.0,111.0,0.06,0.18,0.24,0.06,0.24,0.02,0.34,0.36,0.02,0.36
Rocco Reitz,GER,MT,Gladbach,22.0,2002,21.0,15.0,1345.0,14.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.3,2.4,13.0,72.0,19.0,0.07,0.07,0.13,0.07,0.13,0.07,0.09,0.16,0.07,0.16
Nicolai Remberg,GER,MT,Holstein Kiel,24.0,2000,26.0,20.0,1877.0,20.9,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.1,1.1,0.3,1.5,20.0,68.0,29.0,0.0,0.05,0.05,0.0,0.05,0.05,0.02,0.07,0.05,0.07
Elvis Rexhbeçaj,KVX,MT,Augsburg,27.0,1997,21.0,21.0,1632.0,18.1,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.3,1.3,0.8,2.0,27.0,86.0,70.0,0.06,0.06,0.11,0.06,0.11,0.07,0.04,0.11,0.07,0.11
Gio Reyna,USA,MT,Dortmund,22.0,2002,14.0,3.0,328.0,3.6,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.2,0.2,0.2,0.4,5.0,18.0,18.0,0.55,0.0,0.55,0.55,0.55,0.05,0.07,0.11,0.05,0.11
Fabian Rieder,SUI,"MT,AT",Stuttgart,23.0,2002,18.0,6.0,671.0,7.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.9,3.1,14.0,31.0,44.0,0.13,0.4,0.54,0.13,0.54,0.17,0.25,0.42,0.17,0.42
Lars Ritzka,GER,"DF,MT",St. Pauli,26.0,1998,17.0,9.0,718.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,5.0,16.0,27.0,0.13,0.0,0.13,0.13,0.13,0.05,0.03,0.07,0.05,0.07
Mads Roerslev,DEN,DF,Wolfsburg,25.0,1999,5.0,2.0,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02
Merlin Röhl,GER,"MT,AT",Freiburg,22.0,2002,16.0,11.0,912.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.6,2.4,19.0,22.0,57.0,0.0,0.1,0.1,0.0,0.1,0.08,0.16,0.24,0.08,0.24
Lasse Rosenboom,GER,DF,Holstein Kiel,23.0,2002,19.0,14.0,1163.0,12.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.9,1.4,13.0,23.0,29.0,0.08,0.08,0.15,0.08,0.15,0.04,0.07,0.11,0.04,0.11
Max Rosenfelder,GER,DF,Freiburg,22.0,2003,18.0,8.0,850.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,13.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.07,0.01,0.07
Tom Rothe,GER,"DF,MT",Union Berlin,20.0,2004,20.0,14.0,1239.0,13.8,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,1.6,1.6,1.3,2.9,21.0,36.0,82.0,0.15,0.15,0.29,0.15,0.29,0.11,0.09,0.21,0.11,0.21
Anthony Rouault,FRA,DF,Stuttgart,23.0,2001,18.0,14.0,1212.0,13.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.3,0.8,6.0,52.0,4.0,0.07,0.0,0.07,0.07,0.07,0.04,0.02,0.06,0.04,0.06
Jérôme Roussillon,FRA,"DF,MT",Union Berlin,32.0,1993,5.0,1.0,111.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08
Julian Ryerson,NOR,DF,Dortmund,27.0,1997,22.0,21.0,1707.0,19.0,1.0,1.0,2.0,1.0,0.0,0.0,6.0,1.0,0.4,0.4,2.9,3.4,49.0,76.0,105.0,0.05,0.05,0.11,0.05,0.11,0.02,0.15,0.18,0.02,0.18
