joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Mama Samba Baldé,GNB,AT,Brest,29.0,1995,21.0,12.0,1053.0,11.7,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.5,2.5,2.1,4.6,31.0,19.0,92.0,0.17,0.26,0.43,0.17,0.43,0.21,0.18,0.39,0.21,0.39
Brice Samba,FRA,GB,Rennes,30.0,1994,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brice Samba,FRA,GB,Lens,30.0,1994,15.0,15.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arouna Sangante,SEN,DF,Le Havre,22.0,2002,11.0,11.0,853.0,9.5,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.5,0.5,0.1,0.6,8.0,37.0,1.0,0.21,0.0,0.21,0.21,0.21,0.05,0.01,0.06,0.05,0.06
Nhoa Sangui,FRA,"DF,MT",Reims,19.0,2006,21.0,9.0,949.0,10.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,12.0,35.0,44.0,0.0,0.09,0.09,0.0,0.09,0.01,0.03,0.04,0.01,0.04
Baptiste Santamaria,FRA,MT,Nice,30.0,1995,9.0,9.0,747.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,6.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21
Baptiste Santamaria,FRA,MT,Rennes,30.0,1995,10.0,5.0,482.0,5.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,3.0,28.0,9.0,0.0,0.19,0.19,0.0,0.19,0.02,0.05,0.07,0.02,0.07
Andrey Santos,BRA,MT,Strasbourg,20.0,2004,25.0,25.0,2225.0,24.7,9.0,1.0,10.0,9.0,0.0,0.0,6.0,0.0,3.9,3.9,2.7,6.5,24.0,115.0,21.0,0.36,0.04,0.4,0.36,0.4,0.16,0.11,0.26,0.16,0.26
Tiago Santos,POR,DF,Lille,22.0,2002,7.0,4.0,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.6,1.0,24.0,17.0,43.0,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,0.22
Malang Sarr,FRA,DF,Lens,26.0,1999,15.0,12.0,1107.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,3.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
Mamadou Sarr,FRA,DF,Strasbourg,19.0,2005,21.0,21.0,1847.0,20.5,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,5.0,40.0,1.0,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.04,0.03,0.04
Martin Satriano,URU,"AT,DF",Lens,24.0,2001,4.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.5,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.71,0.26,0.98,0.71,0.98
Téji Savanier,FRA,MT,Montpellier,33.0,1991,24.0,24.0,2057.0,22.9,2.0,5.0,7.0,0.0,2.0,2.0,3.0,1.0,3.9,2.3,6.4,8.7,25.0,158.0,99.0,0.09,0.22,0.31,0.0,0.22,0.17,0.28,0.45,0.1,0.38
Niklas Schmidt,GER,MT,Toulouse,27.0,1998,9.0,2.0,205.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.7,0.8,2.0,23.0,1.0,0.0,0.44,0.44,0.0,0.44,0.03,0.31,0.34,0.03,0.34
Jérémy Sebas,MTQ,"AT,MT",Strasbourg,21.0,2003,13.0,1.0,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,6.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.35,0.01,0.35,0.35,0.35
Alidu Seidu,GHA,DF,Rennes,24.0,2000,11.0,10.0,803.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.3,0.4,23.0,41.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.01,0.05
Hiroki Sekine,JPN,DF,Reims,22.0,2002,8.0,4.0,427.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,13.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01
Marvin Senaya,TOG,DF,Strasbourg,24.0,2001,10.0,1.0,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
Djibril Sidibé,FRA,DF,Toulouse,32.0,1992,21.0,17.0,1506.0,16.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,2.2,2.5,13.0,91.0,30.0,0.0,0.12,0.12,0.0,0.12,0.02,0.13,0.15,0.02,0.15
Vincent Sierro,SUI,MT,Toulouse,29.0,1995,22.0,20.0,1776.0,19.7,4.0,1.0,5.0,2.0,2.0,2.0,4.0,0.0,3.0,1.5,2.8,4.3,11.0,112.0,20.0,0.2,0.05,0.25,0.1,0.15,0.15,0.14,0.3,0.07,0.22
Caio Henrique Oliveira Silva,BRA,DF,Monaco,27.0,1997,20.0,14.0,1329.0,14.8,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,4.5,4.6,41.0,78.0,106.0,0.0,0.34,0.34,0.0,0.34,0.01,0.3,0.31,0.01,0.31
Abdallah Sima,SEN,"AT,MT",Brest,23.0,2001,20.0,10.0,899.0,10.0,4.0,2.0,6.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,0.9,5.2,31.0,21.0,68.0,0.4,0.2,0.6,0.4,0.6,0.44,0.09,0.52,0.44,0.52
Moses Simon,NGA,"AT,MT",Nantes,29.0,1995,25.0,24.0,2010.0,22.3,7.0,8.0,15.0,4.0,3.0,3.0,2.0,0.0,4.9,2.6,5.9,8.5,120.0,48.0,185.0,0.31,0.36,0.67,0.18,0.54,0.22,0.27,0.48,0.11,0.38
Lassine Sinayoko,MLI,"AT,MT",Auxerre,25.0,1999,27.0,18.0,1696.0,18.8,2.0,4.0,6.0,1.0,1.0,1.0,4.0,0.0,4.8,4.0,3.6,7.6,40.0,48.0,149.0,0.11,0.21,0.32,0.05,0.27,0.25,0.19,0.44,0.21,0.4
Wilfried Singo,CIV,DF,Monaco,24.0,2000,20.0,16.0,1466.0,16.3,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,1.5,2.9,28.0,85.0,21.0,0.06,0.12,0.18,0.06,0.18,0.09,0.09,0.18,0.09,0.18
