joueur,nationalite,position,equipe,age,annee_naissance,matchs,titularisations,minutes,minutes_90,buts,passes_decisives,buts_passes_decisives,buts_hors_penaltys,penaltys_marques,penaltys_tentes,cartons_jaunes,cartons_rouges,xg,npxg,xa,npxg_xa,progressions_balle,passes_progressives,passes_progressives_recues,buts_90,passes_decisives_90,buts_passes_decisives_90,buts_hors_penaltys_90,buts_passes_decisives_penaltys_90,xg_90,xa_90,xg_xa_90,npxg_90,npxg_xa_90
Israel Domínguez,ESP,AT,Sevilla,21.0,2003,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Dominguez,ESP,DF,Barcelona,19.0,2005,3.0,2.0,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anastasios Douvikas,GRE,AT,Celta Vigo,25.0,1999,20.0,6.0,700.0,7.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,4.4,4.4,0.2,4.7,6.0,6.0,43.0,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.6,0.57,0.6
Domingos Duarte,POR,DF,Getafe,30.0,1995,14.0,13.0,1171.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,3.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01
Duk,CPV,"MT,AT",Leganés,25.0,2000,5.0,0.0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6,7.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.03,1.04,1.07,0.03,1.07
Pablo Durán,ESP,"AT,MT",Celta Vigo,23.0,2001,18.0,10.0,908.0,10.1,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,2.8,2.8,2.0,4.9,18.0,20.0,86.0,0.4,0.2,0.59,0.4,0.59,0.28,0.2,0.48,0.28,0.48
Hugo Duro,ESP,AT,Valencia,25.0,1999,22.0,20.0,1696.0,18.8,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,6.4,6.4,1.2,7.6,11.0,23.0,66.0,0.37,0.11,0.48,0.37,0.48,0.34,0.06,0.4,0.34,0.4
Chidera Ejuke,NGA,AT,Sevilla,27.0,1998,19.0,8.0,821.0,9.1,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2.6,68.0,32.0,86.0,0.22,0.11,0.33,0.22,0.33,0.11,0.17,0.28,0.11,0.28
Aritz Elustondo,ESP,DF,Real Sociedad,31.0,1994,15.0,10.0,891.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.1,0.5,11.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
Adri Embarba,ESP,"AT,MT",Rayo Vallecano,32.0,1992,27.0,15.0,1357.0,15.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.5,1.5,2.7,4.2,39.0,41.0,95.0,0.07,0.07,0.13,0.07,0.13,0.1,0.18,0.28,0.1,0.28
Endrick,BRA,AT,Real Madrid,18.0,2006,16.0,0.0,116.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,6.0,5.0,15.0,0.78,0.0,0.78,0.78,0.78,0.71,0.23,0.94,0.71,0.94
Alfonso Espino,URU,DF,Rayo Vallecano,33.0,1992,9.0,6.0,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,7.0,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Dario Essugo,POR,MT,Las Palmas,20.0,2005,17.0,17.0,1317.0,14.6,1.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,0.5,0.5,0.3,0.7,14.0,62.0,7.0,0.07,0.0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05
Etienne Eto'o,CMR,AT,Rayo Vallecano,22.0,2002,2.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edu Expósito,ESP,"MT,AT",Espanyol,28.0,1996,9.0,2.0,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.6,5.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.2,0.09,0.2
Abde Ezzalzouli,MAR,"AT,MT",Betis,23.0,2001,25.0,19.0,1613.0,17.9,1.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,7.2,6.4,1.7,8.1,100.0,58.0,172.0,0.06,0.06,0.11,0.06,0.11,0.4,0.1,0.5,0.36,0.45
Ansu Fati,ESP,AT,Barcelona,22.0,2002,4.0,1.0,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,4.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.42,0.04,0.46,0.42,0.46
